Location,Dining Rating Count,Name of Restaurant
Adyar,1044,1
Adyar,1068,1
Adyar,109,1
Adyar,11,1
Adyar,116,1
Adyar,117,2
Adyar,119,1
Adyar,1260,1
Adyar,13,1
Adyar,137,1
Adyar,138,1
Adyar,148,1
Adyar,15,2
Adyar,150,1
Adyar,1511,1
Adyar,153,1
Adyar,1534,1
Adyar,159,1
Adyar,16,1
Adyar,1625,1
Adyar,168,2
Adyar,169,1
Adyar,179,1
Adyar,18,1
Adyar,189,1
Adyar,198,1
Adyar,20,1
Adyar,205,1
Adyar,213,1
Adyar,221,1
Adyar,2252,1
Adyar,241,2
Adyar,2430,1
Adyar,248,1
Adyar,25,1
Adyar,2591,1
Adyar,2733,1
Adyar,29,1
Adyar,292,1
Adyar,294,1
Adyar,298,1
Adyar,30,1
Adyar,300,1
Adyar,304,1
Adyar,309,1
Adyar,328,1
Adyar,331,1
Adyar,34,1
Adyar,35,2
Adyar,376,1
Adyar,380,1
Adyar,4,2
Adyar,403,1
Adyar,404,1
Adyar,417,1
Adyar,44,2
Adyar,441,1
Adyar,452,1
Adyar,456,1
Adyar,47,2
Adyar,495,1
Adyar,499,1
Adyar,50,1
Adyar,52,1
Adyar,534,1
Adyar,54,1
Adyar,55,1
Adyar,56,2
Adyar,575,1
Adyar,581,1
Adyar,6,2
Adyar,617,1
Adyar,625,1
Adyar,67,1
Adyar,7,2
Adyar,71,1
Adyar,73,1
Adyar,79,1
Adyar,8,1
Adyar,825,1
Adyar,837,1
Adyar,840,1
Adyar,87,1
Adyar,89,1
Adyar,897,1
Adyar,98,1
Adyar,Does not offer Dining,35
Adyar,Not enough Dining Reviews,3
Ambattur,0,1
Ambattur,10,5
Ambattur,105,1
Ambattur,107,1
Ambattur,109,1
Ambattur,11,1
Ambattur,12,4
Ambattur,121,1
Ambattur,128,1
Ambattur,13,1
Ambattur,131,1
Ambattur,138,1
Ambattur,14,2
Ambattur,153,1
Ambattur,16,1
Ambattur,161,1
Ambattur,163,1
Ambattur,167,1
Ambattur,17,2
Ambattur,174,1
Ambattur,18,1
Ambattur,180,1
Ambattur,19,5
Ambattur,20,1
Ambattur,21,2
Ambattur,22,4
Ambattur,228,1
Ambattur,23,1
Ambattur,24,2
Ambattur,245,1
Ambattur,25,2
Ambattur,269,1
Ambattur,27,1
Ambattur,28,2
Ambattur,286,1
Ambattur,29,3
Ambattur,303,1
Ambattur,311,1
Ambattur,33,2
Ambattur,35,2
Ambattur,383,1
Ambattur,39,1
Ambattur,4,3
Ambattur,40,1
Ambattur,41,1
Ambattur,42,3
Ambattur,43,1
Ambattur,44,1
Ambattur,48,1
Ambattur,488,1
Ambattur,5,6
Ambattur,50,1
Ambattur,52,1
Ambattur,55,2
Ambattur,56,1
Ambattur,57,1
Ambattur,589,1
Ambattur,6,8
Ambattur,60,2
Ambattur,62,1
Ambattur,629,1
Ambattur,64,1
Ambattur,65,1
Ambattur,69,1
Ambattur,7,3
Ambattur,70,1
Ambattur,71,1
Ambattur,72,1
Ambattur,74,1
Ambattur,741,1
Ambattur,76,1
Ambattur,79,2
Ambattur,8,2
Ambattur,87,1
Ambattur,9,1
Ambattur,95,1
Ambattur,96,1
Ambattur,98,1
Ambattur,Does not offer Dining,30
Ambattur,Not enough Dining Reviews,8
Anna Nagar East,0,1
Anna Nagar East,10,1
Anna Nagar East,104,1
Anna Nagar East,108,2
Anna Nagar East,11,3
Anna Nagar East,110,1
Anna Nagar East,111,1
Anna Nagar East,1124,1
Anna Nagar East,113,1
Anna Nagar East,118,1
Anna Nagar East,1218,1
Anna Nagar East,1225,1
Anna Nagar East,126,2
Anna Nagar East,1263,1
Anna Nagar East,1267,1
Anna Nagar East,127,1
Anna Nagar East,1281,1
Anna Nagar East,129,1
Anna Nagar East,133,1
Anna Nagar East,136,1
Anna Nagar East,137,1
Anna Nagar East,14,1
Anna Nagar East,142,2
Anna Nagar East,148,1
Anna Nagar East,15,1
Anna Nagar East,153,1
Anna Nagar East,16,2
Anna Nagar East,161,1
Anna Nagar East,167,2
Anna Nagar East,169,1
Anna Nagar East,176,1
Anna Nagar East,18,2
Anna Nagar East,19,2
Anna Nagar East,193,1
Anna Nagar East,20,1
Anna Nagar East,202,1
Anna Nagar East,21,1
Anna Nagar East,219,1
Anna Nagar East,22,1
Anna Nagar East,221,1
Anna Nagar East,223,1
Anna Nagar East,226,1
Anna Nagar East,227,1
Anna Nagar East,23,1
Anna Nagar East,238,1
Anna Nagar East,247,1
Anna Nagar East,2485,1
Anna Nagar East,254,1
Anna Nagar East,2564,1
Anna Nagar East,26,1
Anna Nagar East,265,1
Anna Nagar East,273,1
Anna Nagar East,276,1
Anna Nagar East,278,1
Anna Nagar East,28,1
Anna Nagar East,29,5
Anna Nagar East,30,3
Anna Nagar East,305,1
Anna Nagar East,309,1
Anna Nagar East,31,2
Anna Nagar East,315,1
Anna Nagar East,319,1
Anna Nagar East,32,2
Anna Nagar East,325,1
Anna Nagar East,33,1
Anna Nagar East,339,1
Anna Nagar East,34,1
Anna Nagar East,346,1
Anna Nagar East,359,1
Anna Nagar East,364,1
Anna Nagar East,369,2
Anna Nagar East,397,1
Anna Nagar East,4,2
Anna Nagar East,41,1
Anna Nagar East,410,1
Anna Nagar East,42,1
Anna Nagar East,437,1
Anna Nagar East,44,2
Anna Nagar East,442,1
Anna Nagar East,45,2
Anna Nagar East,464,1
Anna Nagar East,48,1
Anna Nagar East,49,1
Anna Nagar East,490,1
Anna Nagar East,504,1
Anna Nagar East,527,1
Anna Nagar East,533,1
Anna Nagar East,544,1
Anna Nagar East,566,1
Anna Nagar East,57,1
Anna Nagar East,588,1
Anna Nagar East,6,5
Anna Nagar East,616,1
Anna Nagar East,623,1
Anna Nagar East,633,1
Anna Nagar East,641,1
Anna Nagar East,652,1
Anna Nagar East,668,1
Anna Nagar East,674,1
Anna Nagar East,71,1
Anna Nagar East,72,2
Anna Nagar East,721,1
Anna Nagar East,73,1
Anna Nagar East,74,1
Anna Nagar East,741,1
Anna Nagar East,75,2
Anna Nagar East,764,1
Anna Nagar East,776,1
Anna Nagar East,79,2
Anna Nagar East,8,2
Anna Nagar East,83,1
Anna Nagar East,866,1
Anna Nagar East,9,1
Anna Nagar East,90,1
Anna Nagar East,92,1
Anna Nagar East,96,1
Anna Nagar East,961,1
Anna Nagar East,Does not offer Dining,44
Anna Nagar East,Not enough Dining Reviews,2
Anna Nagar West,10,1
Anna Nagar West,100,1
Anna Nagar West,1018,1
Anna Nagar West,102,1
Anna Nagar West,103,1
Anna Nagar West,11,1
Anna Nagar West,110,1
Anna Nagar West,1165,1
Anna Nagar West,118,1
Anna Nagar West,119,1
Anna Nagar West,123,1
Anna Nagar West,125,1
Anna Nagar West,126,1
Anna Nagar West,13,2
Anna Nagar West,134,1
Anna Nagar West,142,1
Anna Nagar West,145,1
Anna Nagar West,148,1
Anna Nagar West,168,1
Anna Nagar West,17,1
Anna Nagar West,177,1
Anna Nagar West,18,2
Anna Nagar West,19,2
Anna Nagar West,192,1
Anna Nagar West,197,1
Anna Nagar West,199,1
Anna Nagar West,20,1
Anna Nagar West,204,1
Anna Nagar West,211,1
Anna Nagar West,212,1
Anna Nagar West,213,1
Anna Nagar West,224,1
Anna Nagar West,233,1
Anna Nagar West,235,1
Anna Nagar West,24,1
Anna Nagar West,242,1
Anna Nagar West,254,1
Anna Nagar West,261,1
Anna Nagar West,27,1
Anna Nagar West,285,1
Anna Nagar West,32,1
Anna Nagar West,33,2
Anna Nagar West,34,2
Anna Nagar West,35,3
Anna Nagar West,363,1
Anna Nagar West,371,1
Anna Nagar West,382,1
Anna Nagar West,39,1
Anna Nagar West,392,1
Anna Nagar West,394,1
Anna Nagar West,4,4
Anna Nagar West,401,1
Anna Nagar West,404,1
Anna Nagar West,405,1
Anna Nagar West,430,1
Anna Nagar West,45,1
Anna Nagar West,459,1
Anna Nagar West,46,1
Anna Nagar West,487,1
Anna Nagar West,53,1
Anna Nagar West,54,1
Anna Nagar West,557,1
Anna Nagar West,56,1
Anna Nagar West,6,1
Anna Nagar West,65,1
Anna Nagar West,658,1
Anna Nagar West,66,1
Anna Nagar West,697,1
Anna Nagar West,7,2
Anna Nagar West,72,1
Anna Nagar West,794,1
Anna Nagar West,8,3
Anna Nagar West,828,1
Anna Nagar West,88,1
Anna Nagar West,9,2
Anna Nagar West,91,1
Anna Nagar West,95,1
Anna Nagar West,983,1
Anna Nagar West,Does not offer Dining,35
Anna Nagar West,Not enough Dining Reviews,7
Chromepet,10,1
Chromepet,108,1
Chromepet,109,1
Chromepet,11,2
Chromepet,12,1
Chromepet,125,2
Chromepet,1288,1
Chromepet,14,1
Chromepet,15,2
Chromepet,16,2
Chromepet,176,1
Chromepet,179,1
Chromepet,18,3
Chromepet,187,1
Chromepet,198,1
Chromepet,199,1
Chromepet,20,1
Chromepet,202,1
Chromepet,23,1
Chromepet,233,1
Chromepet,26,2
Chromepet,263,1
Chromepet,277,1
Chromepet,28,2
Chromepet,282,1
Chromepet,29,1
Chromepet,298,1
Chromepet,30,1
Chromepet,310,1
Chromepet,32,1
Chromepet,333,1
Chromepet,345,1
Chromepet,358,1
Chromepet,38,1
Chromepet,39,1
Chromepet,41,1
Chromepet,417,1
Chromepet,43,1
Chromepet,47,1
Chromepet,472,1
Chromepet,48,1
Chromepet,5,1
Chromepet,517,1
Chromepet,542,1
Chromepet,55,1
Chromepet,566,1
Chromepet,6,3
Chromepet,602,1
Chromepet,61,1
Chromepet,646,1
Chromepet,68,1
Chromepet,7,1
Chromepet,70,1
Chromepet,71,1
Chromepet,8,2
Chromepet,87,1
Chromepet,88,1
Chromepet,91,1
Chromepet,95,1
Chromepet,967,1
Chromepet,Does not offer Dining,26
Chromepet,Not enough Dining Reviews,4
GST Road,10,2
GST Road,11,6
GST Road,1104,1
GST Road,111,1
GST Road,12,1
GST Road,1276,1
GST Road,128,1
GST Road,13,1
GST Road,132,2
GST Road,137,1
GST Road,138,1
GST Road,14,2
GST Road,146,2
GST Road,147,1
GST Road,15,3
GST Road,16,2
GST Road,17,1
GST Road,18,2
GST Road,20,1
GST Road,203,1
GST Road,21,1
GST Road,22,1
GST Road,23,2
GST Road,252,1
GST Road,267,1
GST Road,28,2
GST Road,29,1
GST Road,30,1
GST Road,34,1
GST Road,353,1
GST Road,358,1
GST Road,36,2
GST Road,37,1
GST Road,4,4
GST Road,408,1
GST Road,41,1
GST Road,421,1
GST Road,43,1
GST Road,44,1
GST Road,46,1
GST Road,48,2
GST Road,491,1
GST Road,5,2
GST Road,502,1
GST Road,533,1
GST Road,59,2
GST Road,6,2
GST Road,61,1
GST Road,63,1
GST Road,64,1
GST Road,69,1
GST Road,7,2
GST Road,71,1
GST Road,72,1
GST Road,75,1
GST Road,8,1
GST Road,82,1
GST Road,9,2
GST Road,94,2
GST Road,98,1
GST Road,99,2
GST Road,Does not offer Dining,16
Kilpauk,10,1
Kilpauk,101,1
Kilpauk,102,2
Kilpauk,103,1
Kilpauk,11,1
Kilpauk,110,1
Kilpauk,111,1
Kilpauk,112,1
Kilpauk,125,1
Kilpauk,1266,1
Kilpauk,13,1
Kilpauk,140,1
Kilpauk,153,1
Kilpauk,159,1
Kilpauk,16,2
Kilpauk,160,1
Kilpauk,162,1
Kilpauk,168,1
Kilpauk,169,1
Kilpauk,17,1
Kilpauk,18,1
Kilpauk,194,1
Kilpauk,205,1
Kilpauk,216,1
Kilpauk,217,1
Kilpauk,218,1
Kilpauk,22,1
Kilpauk,225,1
Kilpauk,238,1
Kilpauk,241,1
Kilpauk,25,1
Kilpauk,250,2
Kilpauk,26,1
Kilpauk,266,2
Kilpauk,27,1
Kilpauk,289,2
Kilpauk,30,1
Kilpauk,3042,1
Kilpauk,32,1
Kilpauk,333,1
Kilpauk,345,1
Kilpauk,37,1
Kilpauk,4,2
Kilpauk,40,1
Kilpauk,420,1
Kilpauk,445,1
Kilpauk,45,1
Kilpauk,450,1
Kilpauk,455,1
Kilpauk,47,2
Kilpauk,48,3
Kilpauk,49,2
Kilpauk,5,2
Kilpauk,52,1
Kilpauk,53,1
Kilpauk,54,1
Kilpauk,55,1
Kilpauk,563,1
Kilpauk,60,2
Kilpauk,65,1
Kilpauk,653,1
Kilpauk,655,1
Kilpauk,66,1
Kilpauk,689,1
Kilpauk,7,1
Kilpauk,731,1
Kilpauk,84,1
Kilpauk,89,1
Kilpauk,98,1
Kilpauk,Does not offer Dining,38
Kilpauk,Not enough Dining Reviews,2
Madipakkam,10,1
Madipakkam,106,1
Madipakkam,109,1
Madipakkam,118,1
Madipakkam,123,1
Madipakkam,13,1
Madipakkam,132,1
Madipakkam,133,1
Madipakkam,14,1
Madipakkam,140,1
Madipakkam,145,1
Madipakkam,15,2
Madipakkam,16,2
Madipakkam,161,1
Madipakkam,163,1
Madipakkam,17,2
Madipakkam,171,1
Madipakkam,18,1
Madipakkam,180,1
Madipakkam,19,1
Madipakkam,204,2
Madipakkam,21,2
Madipakkam,219,1
Madipakkam,23,1
Madipakkam,24,1
Madipakkam,242,1
Madipakkam,26,1
Madipakkam,271,1
Madipakkam,28,1
Madipakkam,29,1
Madipakkam,292,1
Madipakkam,32,1
Madipakkam,34,2
Madipakkam,35,1
Madipakkam,4,3
Madipakkam,43,1
Madipakkam,47,1
Madipakkam,48,1
Madipakkam,5,3
Madipakkam,502,1
Madipakkam,57,1
Madipakkam,6,1
Madipakkam,602,1
Madipakkam,61,1
Madipakkam,64,1
Madipakkam,66,1
Madipakkam,7,1
Madipakkam,8,2
Madipakkam,83,2
Madipakkam,89,1
Madipakkam,9,1
Madipakkam,90,2
Madipakkam,91,2
Madipakkam,Does not offer Dining,31
Madipakkam,Not enough Dining Reviews,4
Medavakkam,0,1
Medavakkam,10,4
Medavakkam,104,1
Medavakkam,105,1
Medavakkam,106,1
Medavakkam,11,1
Medavakkam,110,1
Medavakkam,115,1
Medavakkam,1152,1
Medavakkam,117,2
Medavakkam,119,1
Medavakkam,128,1
Medavakkam,13,3
Medavakkam,14,1
Medavakkam,15,1
Medavakkam,155,1
Medavakkam,16,3
Medavakkam,17,1
Medavakkam,173,1
Medavakkam,18,1
Medavakkam,1942,1
Medavakkam,195,1
Medavakkam,21,1
Medavakkam,22,3
Medavakkam,226,1
Medavakkam,228,1
Medavakkam,23,2
Medavakkam,236,1
Medavakkam,24,1
Medavakkam,243,1
Medavakkam,25,1
Medavakkam,251,1
Medavakkam,259,1
Medavakkam,26,1
Medavakkam,27,4
Medavakkam,29,2
Medavakkam,297,1
Medavakkam,31,1
Medavakkam,32,1
Medavakkam,322,1
Medavakkam,34,1
Medavakkam,380,1
Medavakkam,4,1
Medavakkam,40,2
Medavakkam,43,1
Medavakkam,44,2
Medavakkam,45,1
Medavakkam,46,2
Medavakkam,47,1
Medavakkam,5,1
Medavakkam,51,1
Medavakkam,52,1
Medavakkam,56,1
Medavakkam,567,1
Medavakkam,6,3
Medavakkam,603,1
Medavakkam,62,1
Medavakkam,64,1
Medavakkam,642,1
Medavakkam,69,1
Medavakkam,7,5
Medavakkam,72,1
Medavakkam,74,1
Medavakkam,78,1
Medavakkam,8,4
Medavakkam,82,1
Medavakkam,84,1
Medavakkam,85,1
Medavakkam,87,1
Medavakkam,884,1
Medavakkam,89,1
Medavakkam,93,1
Medavakkam,94,1
Medavakkam,Does not offer Dining,35
Medavakkam,Not enough Dining Reviews,19
Mogappair,102,1
Mogappair,104,1
Mogappair,11,1
Mogappair,1139,1
Mogappair,114,1
Mogappair,118,1
Mogappair,12,4
Mogappair,124,1
Mogappair,129,2
Mogappair,13,5
Mogappair,132,1
Mogappair,15,1
Mogappair,163,1
Mogappair,171,1
Mogappair,179,1
Mogappair,18,1
Mogappair,180,1
Mogappair,19,3
Mogappair,20,1
Mogappair,214,1
Mogappair,219,1
Mogappair,22,4
Mogappair,24,1
Mogappair,25,1
Mogappair,253,1
Mogappair,259,1
Mogappair,27,1
Mogappair,279,1
Mogappair,28,1
Mogappair,30,1
Mogappair,33,1
Mogappair,34,1
Mogappair,354,1
Mogappair,36,1
Mogappair,363,1
Mogappair,367,1
Mogappair,372,1
Mogappair,377,1
Mogappair,40,1
Mogappair,409,1
Mogappair,41,2
Mogappair,46,1
Mogappair,462,1
Mogappair,49,1
Mogappair,5,3
Mogappair,50,1
Mogappair,51,1
Mogappair,515,1
Mogappair,55,1
Mogappair,56,1
Mogappair,6,3
Mogappair,633,1
Mogappair,64,1
Mogappair,669,1
Mogappair,681,1
Mogappair,69,1
Mogappair,692,1
Mogappair,7,2
Mogappair,70,1
Mogappair,71,1
Mogappair,72,1
Mogappair,8,1
Mogappair,81,1
Mogappair,83,1
Mogappair,87,1
Mogappair,88,1
Mogappair,9,1
Mogappair,90,1
Mogappair,91,1
Mogappair,92,1
Mogappair,94,1
Mogappair,95,1
Mogappair,Does not offer Dining,30
Mogappair,Not enough Dining Reviews,4
Nungambakkam,100,1
Nungambakkam,1025,1
Nungambakkam,1030,1
Nungambakkam,106,1
Nungambakkam,1065,1
Nungambakkam,1082,1
Nungambakkam,11,1
Nungambakkam,113,1
Nungambakkam,1132,1
Nungambakkam,1135,1
Nungambakkam,115,1
Nungambakkam,1258,1
Nungambakkam,1322,1
Nungambakkam,138,1
Nungambakkam,1437,1
Nungambakkam,1475,1
Nungambakkam,1516,1
Nungambakkam,157,1
Nungambakkam,161,1
Nungambakkam,1611,1
Nungambakkam,173,1
Nungambakkam,18,1
Nungambakkam,180,1
Nungambakkam,187,1
Nungambakkam,19,1
Nungambakkam,210,1
Nungambakkam,220,1
Nungambakkam,2252,1
Nungambakkam,23,1
Nungambakkam,24,2
Nungambakkam,244,1
Nungambakkam,247,1
Nungambakkam,25,1
Nungambakkam,254,1
Nungambakkam,2546,1
Nungambakkam,26,1
Nungambakkam,266,1
Nungambakkam,268,1
Nungambakkam,271,1
Nungambakkam,279,1
Nungambakkam,283,1
Nungambakkam,291,2
Nungambakkam,292,1
Nungambakkam,294,1
Nungambakkam,30,1
Nungambakkam,31,1
Nungambakkam,337,1
Nungambakkam,339,1
Nungambakkam,340,1
Nungambakkam,351,1
Nungambakkam,361,1
Nungambakkam,37,1
Nungambakkam,370,1
Nungambakkam,374,1
Nungambakkam,375,1
Nungambakkam,378,1
Nungambakkam,39,1
Nungambakkam,400,1
Nungambakkam,43,1
Nungambakkam,443,1
Nungambakkam,447,2
Nungambakkam,48,1
Nungambakkam,495,1
Nungambakkam,507,1
Nungambakkam,51,1
Nungambakkam,511,1
Nungambakkam,551,1
Nungambakkam,6,3
Nungambakkam,60,1
Nungambakkam,61,1
Nungambakkam,613,1
Nungambakkam,625,1
Nungambakkam,626,1
Nungambakkam,66,1
Nungambakkam,68,1
Nungambakkam,69,1
Nungambakkam,70,1
Nungambakkam,71,1
Nungambakkam,74,1
Nungambakkam,77,1
Nungambakkam,774,1
Nungambakkam,797,1
Nungambakkam,80,2
Nungambakkam,81,1
Nungambakkam,832,1
Nungambakkam,87,2
Nungambakkam,890,1
Nungambakkam,91,1
Nungambakkam,92,1
Nungambakkam,93,1
Nungambakkam,949,1
Nungambakkam,964,1
Nungambakkam,Does not offer Dining,45
Nungambakkam,Not enough Dining Reviews,3
Pallavaram,10,2
Pallavaram,101,2
Pallavaram,102,1
Pallavaram,11,3
Pallavaram,12,1
Pallavaram,132,1
Pallavaram,14,3
Pallavaram,15,2
Pallavaram,1500,1
Pallavaram,159,1
Pallavaram,16,2
Pallavaram,17,2
Pallavaram,18,2
Pallavaram,19,3
Pallavaram,22,4
Pallavaram,242,1
Pallavaram,26,1
Pallavaram,28,1
Pallavaram,33,1
Pallavaram,34,1
Pallavaram,36,1
Pallavaram,37,1
Pallavaram,38,1
Pallavaram,39,2
Pallavaram,400,1
Pallavaram,41,2
Pallavaram,42,1
Pallavaram,43,2
Pallavaram,44,1
Pallavaram,5,3
Pallavaram,50,1
Pallavaram,51,1
Pallavaram,517,1
Pallavaram,52,1
Pallavaram,53,1
Pallavaram,531,1
Pallavaram,56,1
Pallavaram,57,1
Pallavaram,59,1
Pallavaram,6,1
Pallavaram,61,1
Pallavaram,63,1
Pallavaram,67,1
Pallavaram,68,1
Pallavaram,7,1
Pallavaram,75,2
Pallavaram,8,1
Pallavaram,9,2
Pallavaram,91,1
Pallavaram,95,1
Pallavaram,96,1
Pallavaram,Does not offer Dining,31
Pallavaram,Not enough Dining Reviews,5
Perambur,10,1
Perambur,100,1
Perambur,106,1
Perambur,108,1
Perambur,1101,1
Perambur,111,1
Perambur,113,1
Perambur,12,1
Perambur,122,1
Perambur,124,1
Perambur,13,2
Perambur,133,1
Perambur,135,1
Perambur,137,1
Perambur,14,1
Perambur,15,5
Perambur,150,1
Perambur,156,1
Perambur,158,1
Perambur,16,2
Perambur,17,3
Perambur,170,1
Perambur,178,1
Perambur,180,1
Perambur,182,2
Perambur,186,1
Perambur,19,3
Perambur,198,1
Perambur,20,1
Perambur,21,1
Perambur,22,2
Perambur,228,1
Perambur,23,1
Perambur,24,2
Perambur,25,2
Perambur,254,1
Perambur,26,1
Perambur,268,1
Perambur,28,1
Perambur,291,1
Perambur,309,1
Perambur,329,1
Perambur,33,2
Perambur,34,1
Perambur,36,1
Perambur,4,5
Perambur,41,1
Perambur,42,2
Perambur,43,1
Perambur,445,1
Perambur,447,1
Perambur,46,1
Perambur,47,2
Perambur,477,1
Perambur,48,1
Perambur,487,1
Perambur,5,3
Perambur,50,1
Perambur,559,1
Perambur,6,3
Perambur,604,1
Perambur,617,1
Perambur,63,1
Perambur,64,1
Perambur,7,2
Perambur,73,2
Perambur,732,1
Perambur,77,1
Perambur,79,1
Perambur,9,2
Perambur,93,1
Perambur,Does not offer Dining,34
Perambur,Not enough Dining Reviews,10
Perungudi,0,1
Perungudi,107,1
Perungudi,11,2
Perungudi,111,1
Perungudi,116,1
Perungudi,12,1
Perungudi,122,1
Perungudi,1223,1
Perungudi,125,2
Perungudi,13,2
Perungudi,134,1
Perungudi,135,1
Perungudi,139,1
Perungudi,14,1
Perungudi,140,1
Perungudi,142,2
Perungudi,15,3
Perungudi,16,2
Perungudi,18,1
Perungudi,19,1
Perungudi,197,1
Perungudi,20,1
Perungudi,204,1
Perungudi,21,1
Perungudi,22,1
Perungudi,225,1
Perungudi,23,2
Perungudi,232,1
